2025-09-07 07:34:41.830 | ERROR    | crawler.main:init_crawler:63 - 爬虫引擎初始化失败: 'AsyncWebCrawler' object has no attribute 'astart'
2025-09-07 07:34:41.830 | ERROR    | __main__:startup_event:84 - API服务启动失败: 'AsyncWebCrawler' object has no attribute 'astart'
2025-09-07 07:35:00.475 | INFO     | crawler.main:init_crawler:61 - 爬虫引擎初始化成功
2025-09-07 07:35:00.521 | INFO     | __main__:startup_event:82 - API服务启动成功
2025-09-07 07:35:23.008 | INFO     | crawler.main:crawl_news_sources:72 - 开始爬取: 36氪
2025-09-07 07:35:23.009 | ERROR    | crawler.main:crawl_news_sources:132 - 爬取 36氪 时发生错误: Setting 'provider' is deprecated. Instead, use llm_config=LLMConfig(provider="...")
2025-09-07 07:35:23.009 | INFO     | crawler.main:crawl_news_sources:72 - 开始爬取: 虎嗅网
2025-09-07 07:35:23.009 | ERROR    | crawler.main:crawl_news_sources:132 - 爬取 虎嗅网 时发生错误: Setting 'provider' is deprecated. Instead, use llm_config=LLMConfig(provider="...")
2025-09-07 07:35:23.009 | INFO     | crawler.main:crawl_news_sources:72 - 开始爬取: 机器之心
2025-09-07 07:35:23.010 | ERROR    | crawler.main:crawl_news_sources:132 - 爬取 机器之心 时发生错误: Setting 'provider' is deprecated. Instead, use llm_config=LLMConfig(provider="...")
2025-09-07 07:35:23.010 | INFO     | crawler.main:crawl_news_sources:72 - 开始爬取: AI科技大本营
2025-09-07 07:35:23.010 | ERROR    | crawler.main:crawl_news_sources:132 - 爬取 AI科技大本营 时发生错误: Setting 'provider' is deprecated. Instead, use llm_config=LLMConfig(provider="...")
2025-09-07 07:35:23.010 | INFO     | crawler.main:crawl_news_sources:72 - 开始爬取: 量子位
2025-09-07 07:35:23.011 | ERROR    | crawler.main:crawl_news_sources:132 - 爬取 量子位 时发生错误: Setting 'provider' is deprecated. Instead, use llm_config=LLMConfig(provider="...")
2025-09-07 07:35:23.011 | INFO     | crawler.main:crawl_news_sources:72 - 开始爬取: 新智元
2025-09-07 07:35:23.011 | ERROR    | crawler.main:crawl_news_sources:132 - 爬取 新智元 时发生错误: Setting 'provider' is deprecated. Instead, use llm_config=LLMConfig(provider="...")
2025-09-07 07:35:23.011 | INFO     | crawler.main:crawl_news_sources:72 - 开始爬取: AI前线
2025-09-07 07:35:23.012 | ERROR    | crawler.main:crawl_news_sources:132 - 爬取 AI前线 时发生错误: Setting 'provider' is deprecated. Instead, use llm_config=LLMConfig(provider="...")
2025-09-07 07:35:23.012 | INFO     | crawler.main:crawl_news_sources:72 - 开始爬取: 雷锋网
2025-09-07 07:35:23.013 | ERROR    | crawler.main:crawl_news_sources:132 - 爬取 雷锋网 时发生错误: Setting 'provider' is deprecated. Instead, use llm_config=LLMConfig(provider="...")
2025-09-07 07:35:23.013 | INFO     | crawler.main:crawl_news_sources:143 - 总共获取到 0 篇去重后的文章
2025-09-07 07:38:31.024 | INFO     | crawler.main:init_crawler:61 - 爬虫引擎初始化成功
2025-09-07 07:38:31.062 | INFO     | crawler.content_processor:__init__:29 - 使用DeepSeek API进行内容处理
2025-09-07 07:38:31.062 | INFO     | __main__:startup_event:82 - API服务启动成功
2025-09-07 07:38:31.186 | INFO     | crawler.main:cleanup:263 - 爬虫引擎已关闭
2025-09-07 07:38:31.187 | INFO     | __main__:shutdown_event:94 - API服务已关闭
2025-09-07 07:38:45.760 | ERROR    | crawler.content_processor:_generate_summary:91 - 生成早报摘要失败: Error code: 401 - {'error': {'message': 'Incorrect API key provided: your_ope*******_key. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}
2025-09-07 07:38:45.773 | ERROR    | crawler.content_processor:_analyze_trends:117 - 分析发展趋势失败: Error code: 401 - {'error': {'message': 'Incorrect API key provided: your_ope*******_key. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}
2025-09-07 07:38:45.791 | ERROR    | crawler.content_processor:_generate_image_prompts:148 - 生成图片提示词失败: Error code: 401 - {'error': {'message': 'Incorrect API key provided: your_ope*******_key. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}
2025-09-07 07:44:27.184 | INFO     | crawler.main:init_crawler:61 - 爬虫引擎初始化成功
2025-09-07 07:44:27.220 | INFO     | crawler.content_processor:__init__:29 - 使用火山方舟DeepSeek API进行内容处理
2025-09-07 07:44:27.220 | INFO     | __main__:startup_event:82 - API服务启动成功
2025-09-07 07:44:27.348 | INFO     | crawler.main:cleanup:263 - 爬虫引擎已关闭
2025-09-07 07:44:27.348 | INFO     | __main__:shutdown_event:94 - API服务已关闭
2025-09-07 07:44:53.395 | ERROR    | crawler.content_processor:_generate_image_prompts:148 - 生成图片提示词失败: Error code: 401 - {'error': {'message': 'Incorrect API key provided: your_ope*******_key. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}
2025-09-07 07:44:53.406 | ERROR    | crawler.content_processor:_analyze_trends:117 - 分析发展趋势失败: Error code: 401 - {'error': {'message': 'Incorrect API key provided: your_ope*******_key. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}
2025-09-07 07:44:53.421 | ERROR    | crawler.content_processor:_generate_summary:91 - 生成早报摘要失败: Error code: 401 - {'error': {'message': 'Incorrect API key provided: your_ope*******_key. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}
2025-09-07 07:45:28.663 | ERROR    | crawler.content_processor:_generate_summary:91 - 生成早报摘要失败: Error code: 401 - {'error': {'message': 'Incorrect API key provided: your_ope*******_key. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}
2025-09-07 07:45:28.695 | ERROR    | crawler.content_processor:_analyze_trends:117 - 分析发展趋势失败: Error code: 401 - {'error': {'message': 'Incorrect API key provided: your_ope*******_key. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}
2025-09-07 07:45:28.720 | ERROR    | crawler.content_processor:_generate_image_prompts:148 - 生成图片提示词失败: Error code: 401 - {'error': {'message': 'Incorrect API key provided: your_ope*******_key. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}
2025-09-07 07:46:24.276 | INFO     | crawler.main:init_crawler:61 - 爬虫引擎初始化成功
2025-09-07 07:46:24.313 | INFO     | crawler.content_processor:__init__:29 - 使用火山方舟DeepSeek API进行内容处理
2025-09-07 07:46:24.314 | INFO     | __main__:startup_event:82 - API服务启动成功
2025-09-07 07:46:24.436 | INFO     | crawler.main:cleanup:263 - 爬虫引擎已关闭
2025-09-07 07:46:24.436 | INFO     | __main__:shutdown_event:94 - API服务已关闭
2025-09-07 07:46:41.586 | ERROR    | crawler.content_processor:_generate_image_prompts:148 - 生成图片提示词失败: Error code: 401 - {'error': {'message': 'Incorrect API key provided: your_ope*******_key. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}
2025-09-07 07:46:41.593 | ERROR    | crawler.content_processor:_analyze_trends:117 - 分析发展趋势失败: Error code: 401 - {'error': {'message': 'Incorrect API key provided: your_ope*******_key. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}
2025-09-07 07:46:41.595 | ERROR    | crawler.content_processor:_generate_summary:91 - 生成早报摘要失败: Error code: 401 - {'error': {'message': 'Incorrect API key provided: your_ope*******_key. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}
2025-09-07 07:47:08.332 | INFO     | crawler.main:init_crawler:61 - 爬虫引擎初始化成功
2025-09-07 07:47:08.333 | INFO     | __main__:startup_event:83 - API服务启动成功
2025-09-07 07:47:08.478 | INFO     | crawler.main:cleanup:263 - 爬虫引擎已关闭
2025-09-07 07:47:08.478 | INFO     | __main__:shutdown_event:95 - API服务已关闭
2025-09-07 07:47:25.154 | ERROR    | crawler.content_processor:_analyze_trends:117 - 分析发展趋势失败: Error code: 401 - {'error': {'message': 'Incorrect API key provided: your_ope*******_key. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}
2025-09-07 07:47:25.163 | ERROR    | crawler.content_processor:_generate_summary:91 - 生成早报摘要失败: Error code: 401 - {'error': {'message': 'Incorrect API key provided: your_ope*******_key. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}
